name,address,price,psf,description,bedroom,bathroom,carpark
"Sri Murni, Bukit Ledang, Damansara Heights","Damansara Heights, Kuala Lumpur","RM 7,000",(RM 1.89 per sq. ft.),"Condominium | Duplex  •  Built-up : 3,700 sq. ft.  •  Fully furnished",4,4,2
"633 Residency, Brickfields","Brickfields, Kuala Lumpur","RM 3,200",(RM 1.92 per sq. ft.),"Condominium  •  Built-up : 1,667 sq. ft.  •  Fully furnished",3,3,2
"Park Seven, KLCC","KLCC, Kuala Lumpur","RM 14,000",(RM 4.54 per sq. ft.),"Condominium  •  Built-up : 3,083 sq. ft.  •  Partly furnished",3+1,4,2
"Skyluxe On The Park Bukit Jalil, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 2,800",(RM 2.67 per sq. ft.),"Serviced Residence  •  Built-up : 1,050 sq. ft.  •  Fully furnished",3,2,2
"The Ruma, KLCC","KLCC, Kuala Lumpur","RM 4,800",(RM 5.25 per sq. ft.),Serviced Residence | Corner lot  •  Built-up : 915 sq. ft.  •  Fully furnished,2+1,2,1
"Arte Plus, Ampang","Ampang, Kuala Lumpur","RM 1,600",(RM 2.66 per sq. ft.),Condominium | Corner lot  •  Built-up : 601 sq. ft.  •  Fully furnished,1,1,1
"Kuchai Brem Park 1, Taman Gembira, Kuchai Lama","Kuchai Lama, Kuala Lumpur","RM 1,200",(RM 1.15 per sq. ft.),"Condominium | Intermediate  •  Built-up : 1,044 sq. ft.  •  Partly furnished",3,2,1
"Lakeville Residence, Taman Wahyu, Jalan Ipoh","Jalan Ipoh, Kuala Lumpur","RM 2,400",(RM 2.24 per sq. ft.),"Condominium  •  Built-up : 1,070 sq. ft.",3,2,2
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 4,900",(RM 3.28 per sq. ft.),"Condominium  •  Built-up : 1,496 sq. ft.  •  Partly furnished",3+1,3,2
"Sky Suites @ KLCC, KLCC","KLCC, Kuala Lumpur","RM 2,900",(RM 3.26 per sq. ft.),Serviced Residence | Intermediate  •  Built-up : 890 sq. ft.  •  Fully furnished,3,2,
"Sky Suites @ KLCC, KLCC","KLCC, Kuala Lumpur","RM 2,500",(RM 3.57 per sq. ft.),Serviced Residence | Intermediate  •  Built-up : 700 sq. ft.  •  Fully furnished,2,2,
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 8,000",(RM 4.37 per sq. ft.),"Condominium  •  Built-up : 1,830 sq. ft.  •  Fully furnished",4+1,4,2
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 11,000",(RM 3.98 per sq. ft.),"Condominium  •  Built-up : 2,766 sq. ft.  •  Fully furnished",4+1,5,3
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 3,500",(RM 2.88 per sq. ft.),"Condominium  •  Built-up : 1,215 sq. ft.  •  Partly furnished",3,2,2
"Mercu Summer Suites, KL City, KLCC","KLCC, Kuala Lumpur","RM 2,400",(RM 3 per sq. ft.),Serviced Residence  •  Built-up : 800 sq. ft.  •  Fully furnished,2,2,
"The Hipster, Taman Desa","Taman Desa, Kuala Lumpur","RM 1,700",(RM 1.85 per sq. ft.),Condominium  •  Built-up : 921 sq. ft.,3,2,2
"Platinum Suites (The Face Suites), KLCC","KLCC, Kuala Lumpur","RM 3,000",(RM 3.41 per sq. ft.),Serviced Residence | End lot  •  Built-up : 880 sq. ft.  •  Fully furnished,1+1,1,1
"The Hipster, Taman Desa","Taman Desa, Kuala Lumpur","RM 1,600",(RM 1.74 per sq. ft.),Condominium  •  Built-up : 921 sq. ft.,3,2,2
"The Ruma, KLCC","KLCC, Kuala Lumpur","RM 3,800",(RM 4.15 per sq. ft.),Serviced Residence | Intermediate  •  Built-up : 915 sq. ft.  •  Fully furnished,2+1,2,1
"Parc 3, Cheras","Cheras, Kuala Lumpur","RM 2,100",(RM 3.06 per sq. ft.),Serviced Residence  •  Built-up : 686 sq. ft.  •  Fully furnished,2,2,1
