"details","details_copy"
"Default","Default"
"Studio","Studio"
"Intermediate","Intermediate"
"Corner lot","Corner lot"
"End lot","End lot"
"Duplex","Duplex"
"Penthouse","Penthouse"
"Dual key","Dual key"
"Triplex","Triplex"
"Soho","Soho"
